"",7/2/2022
"Timezone",-4

"Serial No.","A300000078DE1D41"
"Location:","Jericho_11_2_6D"
"High temperature limit (°C)",40.11
"Low temperature limit (°C)",-41.53
"Date - Time","Temperature (°C)"
"5/26/2022 12:58",20.1
"5/26/2022 13:28",24.1
"5/26/2022 13:58",25.1
"5/26/2022 14:28",21.6
"5/26/2022 14:58",20.6
"5/26/2022 15:28",21.6
"5/26/2022 15:58",21.1
"5/26/2022 16:28",20.6
"5/26/2022 16:58",21.1
"5/26/2022 17:28",20.6
"5/26/2022 17:58",20.6
"5/26/2022 18:28",20.6
"5/26/2022 18:58",19.6
"5/26/2022 19:28",19.6
"5/26/2022 19:58",19.1
"5/26/2022 20:28",18.6
"5/26/2022 20:58",18.6
"5/26/2022 21:28",18.1
"5/26/2022 21:58",18.1
"5/26/2022 22:28",18.1
"5/26/2022 22:58",17.6
"5/26/2022 23:28",17.1
"5/26/2022 23:58",17.6
"5/27/2022 00:28",17.6
"5/27/2022 00:58",17.6
"5/27/2022 01:28",17.6
"5/27/2022 01:58",17.6
"5/27/2022 02:28",17.1
"5/27/2022 02:58",17.1
"5/27/2022 03:28",16.1
"5/27/2022 03:58",15.6
"5/27/2022 04:28",15.6
"5/27/2022 04:58",15.6
"5/27/2022 05:28",15.6
"5/27/2022 05:58",15.6
"5/27/2022 06:28",16.1
"5/27/2022 06:58",16.1
"5/27/2022 07:28",16.6
"5/27/2022 07:58",16.6
"5/27/2022 08:28",16.6
"5/27/2022 08:58",17.1
"5/27/2022 09:28",17.6
"5/27/2022 09:58",18.1
"5/27/2022 10:28",18.1
"5/27/2022 10:58",18.6
"5/27/2022 11:28",19.1
"5/27/2022 11:58",19.6
"5/27/2022 12:28",20.6
"5/27/2022 12:58",21.1
"5/27/2022 13:28",21.6
"5/27/2022 13:58",21.6
"5/27/2022 14:28",22.1
"5/27/2022 14:58",22.1
"5/27/2022 15:28",21.6
"5/27/2022 15:58",21.6
"5/27/2022 16:28",21.1
"5/27/2022 16:58",21.1
"5/27/2022 17:28",21.6
"5/27/2022 17:58",21.1
"5/27/2022 18:28",20.6
"5/27/2022 18:58",20.6
"5/27/2022 19:28",20.1
"5/27/2022 19:58",19.6
"5/27/2022 20:28",19.6
"5/27/2022 20:58",19.6
"5/27/2022 21:28",19.6
"5/27/2022 21:58",20.1
"5/27/2022 22:28",20.1
"5/27/2022 22:58",20.1
"5/27/2022 23:28",20.1
"5/27/2022 23:58",20.1
"5/28/2022 00:28",20.1
"5/28/2022 00:58",19.1
"5/28/2022 01:28",18.6
"5/28/2022 01:58",18.1
"5/28/2022 02:28",17.6
"5/28/2022 02:58",17.6
"5/28/2022 03:28",17.1
"5/28/2022 03:58",17.1
"5/28/2022 04:28",17.1
"5/28/2022 04:58",17.1
"5/28/2022 05:28",17.1
"5/28/2022 05:58",17.1
"5/28/2022 06:28",17.1
"5/28/2022 06:58",17.1
"5/28/2022 07:28",17.6
"5/28/2022 07:58",18.1
"5/28/2022 08:28",18.6
"5/28/2022 08:58",18.6
"5/28/2022 09:28",19.6
"5/28/2022 09:58",20.1
"5/28/2022 10:28",21.1
"5/28/2022 10:58",17.6
"5/28/2022 11:28",15.6
"5/28/2022 11:58",14.1
"5/28/2022 12:28",14.1
"5/28/2022 12:58",15.1
"5/28/2022 13:28",15.1
"5/28/2022 13:58",15.6
"5/28/2022 14:28",16.1
"5/28/2022 14:58",15.6
"5/28/2022 15:28",15.6
"5/28/2022 15:58",17.6
"5/28/2022 16:28",16.1
"5/28/2022 16:58",15.6
"5/28/2022 17:28",15.1
"5/28/2022 17:58",15.1
"5/28/2022 18:28",15.6
"5/28/2022 18:58",14.6
"5/28/2022 19:28",14.6
"5/28/2022 19:58",14.1
"5/28/2022 20:28",14.1
"5/28/2022 20:58",14.1
"5/28/2022 21:28",13.6
"5/28/2022 21:58",13.1
"5/28/2022 22:28",13.1
"5/28/2022 22:58",12.6
"5/28/2022 23:28",12.1
"5/28/2022 23:58",12.1
"5/29/2022 00:28",12.1
"5/29/2022 00:58",12.1
"5/29/2022 01:28",11.6
"5/29/2022 01:58",11.6
"5/29/2022 02:28",11.6
"5/29/2022 02:58",11.6
"5/29/2022 03:28",11.6
"5/29/2022 03:58",11.6
"5/29/2022 04:28",12.1
"5/29/2022 04:58",11.6
"5/29/2022 05:28",11.6
"5/29/2022 05:58",11.6
"5/29/2022 06:28",12.1
"5/29/2022 06:58",12.6
"5/29/2022 07:28",13.1
"5/29/2022 07:58",14.1
"5/29/2022 08:28",14.6
"5/29/2022 08:58",15.6
"5/29/2022 09:28",16.1
"5/29/2022 09:58",17.1
"5/29/2022 10:28",18.1
"5/29/2022 10:58",18.6
"5/29/2022 11:28",20.1
"5/29/2022 11:58",20.1
"5/29/2022 12:28",19.6
"5/29/2022 12:58",20.1
"5/29/2022 13:28",21.1
"5/29/2022 13:58",21.6
"5/29/2022 14:28",21.6
"5/29/2022 14:58",21.6
"5/29/2022 15:28",22.1
"5/29/2022 15:58",22.1
"5/29/2022 16:28",22.6
"5/29/2022 16:58",21.6
"5/29/2022 17:28",20.6
"5/29/2022 17:58",20.6
"5/29/2022 18:28",20.1
"5/29/2022 18:58",19.6
"5/29/2022 19:28",19.1
"5/29/2022 19:58",18.6
"5/29/2022 20:28",18.1
"5/29/2022 20:58",17.6
"5/29/2022 21:28",17.1
"5/29/2022 21:58",16.6
"5/29/2022 22:28",16.6
"5/29/2022 22:58",16.6
"5/29/2022 23:28",15.6
"5/29/2022 23:58",16.1
"5/30/2022 00:28",15.6
"5/30/2022 00:58",15.6
"5/30/2022 01:28",15.1
"5/30/2022 01:58",14.6
"5/30/2022 02:28",14.1
"5/30/2022 02:58",14.1
"5/30/2022 03:28",13.6
"5/30/2022 03:58",13.6
"5/30/2022 04:28",13.6
"5/30/2022 04:58",13.1
"5/30/2022 05:28",13.1
"5/30/2022 05:58",13.1
"5/30/2022 06:28",13.6
"5/30/2022 06:58",14.1
"5/30/2022 07:28",14.6
"5/30/2022 07:58",15.6
"5/30/2022 08:28",16.6
"5/30/2022 08:58",17.6
"5/30/2022 09:28",19.1
"5/30/2022 09:58",18.1
"5/30/2022 10:28",19.1
"5/30/2022 10:58",20.6
"5/30/2022 11:28",21.6
"5/30/2022 11:58",22.1
"5/30/2022 12:28",23.1
"5/30/2022 12:58",23.6
"5/30/2022 13:28",23.1
"5/30/2022 13:58",23.1
"5/30/2022 14:28",24.1
"5/30/2022 14:58",24.1
"5/30/2022 15:28",24.1
"5/30/2022 15:58",24.1
"5/30/2022 16:28",24.1
"5/30/2022 16:58",24.1
"5/30/2022 17:28",23.6
"5/30/2022 17:58",23.1
"5/30/2022 18:28",22.6
"5/30/2022 18:58",22.1
"5/30/2022 19:28",22.1
"5/30/2022 19:58",21.6
"5/30/2022 20:28",21.1
"5/30/2022 20:58",20.6
"5/30/2022 21:28",20.6
"5/30/2022 21:58",20.6
"5/30/2022 22:28",20.1
"5/30/2022 22:58",20.1
"5/30/2022 23:28",19.6
"5/30/2022 23:58",19.6
"5/31/2022 00:28",19.6
"5/31/2022 00:58",19.1
"5/31/2022 01:28",19.1
"5/31/2022 01:58",19.1
"5/31/2022 02:28",19.1
"5/31/2022 02:58",19.1
"5/31/2022 03:28",19.1
"5/31/2022 03:58",19.1
"5/31/2022 04:28",19.1
"5/31/2022 04:58",19.1
"5/31/2022 05:28",19.1
"5/31/2022 05:58",19.6
"5/31/2022 06:28",19.1
"5/31/2022 06:58",19.1
"5/31/2022 07:28",19.1
"5/31/2022 07:58",19.1
"5/31/2022 08:28",19.6
